student_id,week,avg_submission_delay,quiz_score,attendance_pct,study_sessions,deadline_load,burnout_risk
10,3,0.99,83.83,90.94,5,3,0
10,4,0.59,80.93,89.45,5,2,0
10,5,0.02,85.64,86.94,5,3,0
10,6,0.07,80.58,87.25,5,2,0
10,7,1.01,88.35,89.19,6,3,0
10,8,0.94,86.43,94.15,4,3,0
10,9,0.04,80.28,89.89,6,3,0
10,10,0.75,84.93,89.59,4,1,0
10,11,0.3,82.87,87.43,6,3,0
10,12,0.24,88.01,89.65,6,2,0
11,1,1.88,87.33,80.37,1,1,1
11,2,2.85,79.55,83.49,3,1,1
11,3,2.04,90.12,92.84,2,1,1
11,4,2.41,84.6,87.36,1,3,1
11,5,1.56,86.18,97.04,2,2,1
11,6,1.62,84.21,83.22,1,3,1
11,7,2.99,82.23,81.89,3,3,1
11,8,3.67,80.46,83.89,2,2,1
11,9,3.0,73.76,84.73,2,1,1
11,10,2.94,77.66,81.64,2,2,1
11,11,2.97,77.47,86.37,2,1,1
11,12,2.78,73.02,87.24,3,2,1
12,1,2.45,69.84,92.18,2,2,1
12,2,1.15,65.49,100.0,3,3,1
12,3,2.32,81.59,100.0,3,1,1
12,4,2.09,73.04,92.18,1,3,1
12,5,2.85,76.55,94.1,2,1,1
12,6,2.73,72.39,90.34,1,1,1
12,7,1.52,71.01,100.0,2,3,1
12,8,3.5,78.05,95.82,2,2,1
12,9,2.38,67.94,85.04,3,2,1
12,10,2.76,71.44,100.0,1,1,1
12,11,3.19,73.37,94.64,3,2,1
12,12,3.39,65.93,98.14,1,2,1
13,1,0.63,70.31,84.31,6,3,0
13,2,0.17,69.51,87.62,4,2,0
13,3,0.2,65.24,90.49,5,3,0
13,4,0.52,76.94,85.56,4,3,0
13,5,0.64,65.74,91.13,6,2,0
13,6,0.29,69.17,86.05,4,3,0
13,7,0.49,73.58,91.34,6,1,0
13,8,0.55,69.55,85.29,4,2,0
13,9,0.27,74.56,87.67,4,1,0
13,10,0.55,71.73,86.39,6,2,0
13,11,0.81,67.86,95.31,4,2,0
13,12,1.08,78.23,87.96,4,1,0
14,1,0.52,74.66,97.35,6,3,0
14,2,0.0,71.25,93.3,6,3,0
14,3,0.13,73.71,92.97,5,2,0
14,4,0.39,69.41,97.16,4,2,0
14,5,0.3,67.11,88.68,5,1,0
14,6,1.03,68.77,96.83,5,3,0
14,7,0.89,63.84,95.96,5,2,0
14,8,0.08,74.66,92.6,6,2,0
14,9,0.34,72.45,93.57,5,3,0
14,10,0.83,69.51,97.72,6,1,0
14,11,0.59,64.02,89.64,5,2,0
14,12,0.72,65.7,93.99,6,1,0
15,1,1.1,69.72,90.8,5,2,0
15,2,0.66,67.88,95.16,4,1,0
15,3,1.33,65.99,91.24,5,2,0
15,4,0.84,59.43,89.24,5,3,0
15,5,0.43,71.68,92.9,6,2,0
15,6,0.63,75.18,91.29,5,2,0
15,7,0.24,69.65,90.48,5,3,0
15,8,0.54,60.09,95.17,5,2,0
15,9,0.49,73.94,90.33,6,3,0
15,10,1.04,68.85,93.81,6,2,0
15,11,0.8,64.47,92.86,5,3,0
15,12,1.08,70.12,94.06,6,1,0
16,1,0.04,72.5,94.99,5,3,0
16,2,0.54,68.41,95.69,5,3,0
16,3,0.49,75.46,92.62,5,3,0
16,4,0.51,67.11,94.03,4,2,0
16,5,0.52,76.78,86.29,6,3,0
16,6,0.11,73.43,96.7,5,1,0
16,7,0.54,79.59,95.56,5,3,0
16,8,0.44,73.76,92.47,6,3,0
16,9,0.37,67.99,100.0,6,1,0
16,10,0.3,70.95,96.89,6,1,0
16,11,0.0,71.53,93.9,4,1,0
16,12,0.72,74.57,91.78,6,1,0
17,1,0.67,64.1,91.39,5,1,0
17,2,0.56,69.84,89.06,4,3,0
17,3,0.69,68.22,87.65,5,3,0
17,4,0.47,72.11,90.42,5,3,0
17,5,0.53,64.23,90.79,6,2,0
17,6,1.24,62.91,98.4,4,3,0
17,7,0.33,72.76,89.51,4,2,0
17,8,0.05,69.7,92.28,6,3,0
17,9,0.66,74.57,86.35,6,2,0
17,10,0.53,73.77,86.05,5,2,0
17,11,0.34,71.13,88.85,5,1,0
17,12,0.86,70.84,91.49,5,3,0
18,1,1.5,77.72,94.99,1,3,1
18,2,1.69,75.78,92.58,3,1,1
18,3,1.8,69.22,91.68,2,2,1
18,4,2.3,68.53,98.84,2,1,1
18,5,2.33,72.02,87.13,1,3,1
18,6,2.7,69.03,89.97,3,2,1
18,7,3.02,69.01,86.8,1,1,1
18,8,2.54,66.61,94.58,2,3,1
18,9,3.05,65.57,90.36,2,2,1
18,10,3.74,77.89,87.23,1,3,1
18,11,3.6,64.7,89.76,1,3,1
18,12,2.81,60.04,88.84,3,1,1
19,1,0.43,76.02,94.9,6,2,0
19,2,0.69,79.23,99.89,6,1,0
19,3,0.85,76.89,92.9,4,1,0
19,4,0.69,82.62,100.0,6,2,0
19,5,0.45,75.86,94.13,4,1,0
19,6,0.51,79.96,91.22,5,2,0
19,7,0.99,86.61,96.34,4,3,0
19,8,0.03,75.3,98.71,5,3,0
19,9,1.09,79.07,96.23,5,3,0
19,10,0.48,83.75,96.52,5,1,0
19,11,0.49,78.33,94.45,4,2,0
19,12,0.38,80.59,91.77,5,1,0
20,1,0.42,70.27,89.61,5,2,0
20,2,0.28,77.81,92.07,5,3,0
20,3,0.35,68.84,90.98,6,3,0
20,4,0.26,70.86,88.21,5,2,0
20,5,0.88,72.86,89.14,6,2,0
20,6,1.22,69.83,94.1,6,3,0
20,7,1.02,71.41,88.2,4,3,0
20,8,0.35,66.49,88.56,6,1,0
20,9,0.49,79.19,95.33,5,1,0
20,10,0.63,66.11,91.84,6,1,0
20,11,0.42,63.94,91.35,4,1,0
20,12,0.69,65.72,85.76,5,1,0
21,1,0.97,66.78,94.26,6,2,0
21,2,0.63,67.84,85.66,5,1,0
21,3,0.31,74.54,91.79,6,2,0
21,4,0.58,74.25,89.43,4,1,0
21,5,0.66,71.47,92.62,4,2,0
21,6,0.0,74.03,88.17,4,1,0
21,7,0.81,71.77,90.36,4,3,0
21,8,0.47,66.73,89.49,6,2,0
21,9,0.52,67.82,93.3,4,1,0
21,10,0.35,75.55,86.13,4,1,0
21,11,0.4,71.56,89.34,4,3,0
21,12,1.12,71.74,91.45,4,2,0
22,1,1.71,70.2,84.48,3,1,1
22,2,1.59,72.75,82.52,2,1,1
22,3,2.74,69.93,86.73,3,3,1
22,4,2.26,80.63,85.1,3,2,1
22,5,2.69,64.19,88.26,2,1,1
22,6,1.98,69.97,81.34,2,1,1
22,7,2.51,67.66,87.34,3,1,1
22,8,2.49,72.52,89.33,3,3,1
22,9,2.41,74.35,78.94,2,2,1
22,10,3.12,57.32,86.85,1,1,1
22,11,3.05,62.05,83.11,2,2,1
22,12,2.99,63.23,84.84,2,2,1
23,1,1.06,73.65,81.13,1,2,1
23,2,2.27,85.32,83.0,1,1,1
23,3,2.38,87.78,85.12,3,3,1
23,4,2.09,78.0,80.79,2,2,1
23,5,3.51,75.11,77.28,3,3,1
23,6,2.47,77.55,87.71,2,3,1
23,7,3.08,73.78,88.82,1,3,1
23,8,2.64,73.07,83.32,3,1,1
23,9,2.29,71.27,84.99,1,2,1
23,10,2.56,75.8,79.35,3,2,1
23,11,3.76,74.01,78.82,1,2,1
23,12,2.67,72.1,76.39,2,3,1
24,1,0.02,73.76,91.22,6,2,0
24,2,0.67,69.68,91.47,5,3,0
24,3,0.54,74.17,91.43,4,2,0
24,4,0.51,73.99,87.39,5,1,0
24,5,0.13,69.22,89.12,6,3,0
24,6,0.77,69.3,92.12,5,1,0
24,7,0.16,70.99,92.79,4,3,0
24,8,0.39,66.75,91.71,4,3,0
24,9,0.29,69.42,87.3,4,1,0
24,10,0.73,74.66,86.63,5,3,0
24,11,0.0,64.1,94.41,5,2,0
24,12,0.34,65.5,92.97,5,1,0
25,1,1.39,65.17,85.51,2,1,1
25,2,1.49,71.47,81.73,2,2,1
25,3,1.51,73.36,77.35,2,3,1
25,4,2.02,61.39,76.89,3,2,1
25,5,1.47,64.95,78.82,1,1,1
25,6,2.46,73.85,85.81,3,2,1
25,7,2.51,61.97,78.06,3,2,1
25,8,3.19,63.02,74.11,2,1,1
25,9,3.2,68.71,84.41,2,2,1
25,10,2.54,65.05,78.4,1,1,1
25,11,3.35,66.2,73.99,2,1,1
25,12,2.94,53.31,81.28,2,3,1
26,1,0.85,82.12,82.43,2,2,1
26,2,1.81,82.61,99.83,2,2,1
26,3,1.67,76.6,96.7,3,1,1
26,4,1.89,77.19,93.81,2,1,1
26,5,1.46,71.74,87.49,2,2,1
26,6,2.52,72.08,85.45,1,2,1
26,7,2.4,66.26,93.95,1,3,1
26,8,2.72,55.99,92.27,3,2,1
26,9,2.19,75.91,95.93,2,2,1
26,10,2.19,68.43,82.21,2,1,1
26,11,2.55,72.44,82.85,1,1,1
26,12,3.2,63.68,92.68,3,1,1
27,1,0.65,76.48,90.52,6,2,0
27,2,0.44,62.24,97.69,6,2,0
27,3,0.66,70.37,91.92,5,2,0
27,4,0.0,70.78,91.26,5,3,0
27,5,0.04,71.46,94.9,4,2,0
27,6,0.82,61.78,91.36,6,3,0
27,7,0.0,67.31,92.48,5,3,0
27,8,0.67,61.84,88.81,5,2,0
27,9,0.59,68.16,97.08,4,1,0
27,10,0.16,66.98,96.41,6,3,0
27,11,0.72,68.53,97.55,6,1,0
27,12,0.97,69.17,91.62,4,3,0
28,1,0.1,69.29,94.34,6,3,0
28,2,0.3,71.37,89.43,4,1,0
28,3,0.86,76.05,93.73,4,1,0
28,4,0.27,68.16,89.23,4,2,0
28,5,0.44,72.7,90.66,6,2,0
28,6,0.67,70.05,89.63,6,2,0
28,7,0.94,80.37,92.98,5,3,0
28,8,0.68,69.86,91.34,6,2,0
28,9,1.12,68.76,90.07,5,1,0
28,10,0.42,67.81,93.48,5,3,0
28,11,0.4,75.37,97.13,5,1,0
28,12,0.71,68.0,91.44,6,2,0
29,1,1.43,77.24,79.52,2,3,1
29,2,1.91,68.89,81.73,1,2,1
29,3,2.87,79.45,71.83,3,3,1
29,4,2.13,77.04,82.64,3,1,1
29,5,2.0,74.86,78.88,1,1,1
29,6,2.39,69.9,82.58,3,2,1
29,7,2.03,76.26,82.73,3,3,1
29,8,2.93,65.14,85.76,1,2,1
29,9,2.94,70.45,81.86,3,3,1
29,10,3.32,67.94,83.24,3,1,1
29,11,3.03,62.96,82.58,2,3,1
29,12,3.55,68.84,71.55,2,3,1
30,1,0.33,77.6,93.36,5,3,0
30,2,0.56,66.39,95.38,5,2,0
30,3,0.31,70.68,95.03,5,3,0
30,4,0.89,66.69,93.69,5,2,0
30,5,0.78,70.1,86.73,5,3,0
30,6,0.74,63.86,97.4,6,1,0
30,7,0.95,69.89,91.98,6,3,0
30,8,1.06,70.77,97.68,5,1,0
30,9,0.35,62.89,95.47,4,3,0
30,10,0.0,71.5,94.47,4,1,0
30,11,0.0,64.17,95.52,5,2,0
30,12,0.6,67.26,100.0,4,1,0
31,1,0.48,76.88,83.14,5,2,0
31,2,0.21,77.28,83.59,5,1,0
31,3,0.34,73.57,86.31,4,3,0
31,4,0.16,76.58,85.16,5,3,0
31,5,0.52,75.69,81.32,4,1,0
31,6,0.34,69.19,87.7,4,3,0
31,7,0.59,73.1,83.53,5,3,0
31,8,0.45,75.13,86.11,4,2,0
31,9,0.8,64.49,86.72,5,2,0
31,10,0.93,75.83,84.7,5,1,0
31,11,0.62,70.09,85.4,6,1,0
31,12,0.46,70.26,89.01,6,2,0
32,1,1.4,73.98,85.62,3,2,1
32,2,1.6,71.95,84.38,2,3,1
32,3,1.98,72.56,89.8,2,1,1
32,4,2.74,67.22,83.88,1,2,1
32,5,1.86,67.74,91.96,2,3,1
32,6,2.6,67.53,78.97,1,1,1
32,7,3.03,68.85,89.39,2,2,1
32,8,2.62,75.46,75.81,2,3,1
32,9,2.22,71.05,97.08,3,1,1
32,10,3.07,67.67,86.6,1,2,1
32,11,2.86,63.98,84.12,2,3,1
32,12,3.4,61.77,84.83,3,1,1
33,1,0.44,73.63,95.28,4,2,0
33,2,1.28,67.59,87.94,6,1,0
33,3,0.12,65.65,92.54,4,1,0
33,4,0.72,72.64,90.01,5,2,0
33,5,0.36,68.48,92.44,6,2,0
33,6,0.36,67.04,85.62,5,3,0
33,7,0.87,75.77,94.71,6,2,0
33,8,0.37,69.84,92.12,4,2,0
33,9,0.86,65.2,90.51,6,3,0
33,10,0.66,68.79,89.93,5,1,0
33,11,0.32,64.84,96.09,4,3,0
33,12,0.35,70.82,93.95,5,3,0
34,1,0.11,70.79,82.59,6,2,0
34,2,0.41,72.71,89.68,4,1,0
34,3,0.38,72.83,87.07,4,3,0
34,4,0.77,77.12,91.62,6,1,0
34,5,0.7,71.56,86.46,4,1,0
34,6,0.31,65.56,84.56,6,1,0
34,7,0.18,68.83,88.3,4,3,0
34,8,1.01,75.34,92.2,5,1,0
34,9,0.33,66.33,88.0,4,3,0
34,10,0.29,68.2,87.8,4,3,0
34,11,1.02,72.77,83.91,6,1,0
34,12,0.51,68.62,85.12,6,2,0
35,1,0.92,86.6,87.83,4,3,0
35,2,0.35,83.86,89.34,5,3,0
35,3,0.51,88.94,87.05,4,2,0
35,4,0.56,80.4,82.29,5,3,0
35,5,0.37,79.39,84.69,6,1,0
35,6,0.48,92.1,86.8,4,2,0
35,7,0.59,83.32,87.98,4,1,0
35,8,0.0,80.19,84.89,5,2,0
35,9,0.75,79.83,91.46,4,3,0
35,10,0.33,82.94,91.89,6,1,0
35,11,0.41,82.61,91.19,4,1,0
35,12,0.47,88.08,86.79,4,1,0
36,1,0.71,70.69,92.99,5,1,0
36,2,0.67,60.4,91.96,6,3,0
36,3,0.96,67.05,95.65,6,1,0
36,4,0.45,64.65,98.35,6,1,0
36,5,0.56,72.04,95.26,6,1,0
36,6,0.69,64.43,94.44,4,1,0
36,7,0.0,66.43,100.0,5,1,0
36,8,0.35,69.65,91.03,6,1,0
36,9,0.76,74.16,95.53,5,3,0
36,10,0.75,69.33,91.7,5,2,0
36,11,0.08,70.87,91.33,6,1,0
36,12,0.0,61.73,92.04,5,3,0
37,1,0.17,78.52,91.19,4,1,0
37,2,0.44,79.54,95.8,5,2,0
37,3,0.08,85.02,94.06,4,1,0
37,4,0.29,84.02,99.35,5,2,0
37,5,1.07,78.31,94.37,6,3,0
37,6,0.16,79.75,95.73,6,2,0
37,7,0.47,78.68,93.73,5,2,0
37,8,0.98,79.79,95.19,6,2,0
37,9,0.85,81.64,94.18,4,2,0
37,10,0.63,75.39,94.94,4,1,0
37,11,0.97,81.16,93.85,5,2,0
37,12,0.87,77.01,92.64,4,1,0
38,1,0.18,66.06,99.21,6,3,0
38,2,0.22,67.94,95.56,5,2,0
38,3,1.09,69.61,91.65,4,1,0
38,4,0.12,67.2,93.81,6,3,0
38,5,0.58,66.97,96.25,4,2,0
38,6,0.53,63.66,93.83,4,1,0
38,7,0.46,60.41,92.95,5,3,0
38,8,0.62,64.77,87.22,6,1,0
38,9,0.0,72.85,95.22,6,2,0
38,10,0.56,67.25,93.91,6,2,0
38,11,1.13,60.43,96.83,6,3,0
38,12,0.61,69.77,92.38,6,3,0
39,1,1.91,78.14,77.54,1,2,1
39,2,1.64,81.13,82.54,2,2,1
39,3,2.38,78.02,82.51,2,1,1
39,4,1.75,74.15,74.06,1,1,1
39,5,2.32,74.69,72.14,3,1,1
39,6,2.53,68.37,79.51,2,3,1
39,7,2.47,69.63,74.57,1,2,1
39,8,2.65,73.52,77.4,1,3,1
39,9,2.66,73.91,67.01,2,1,1
39,10,2.97,64.46,75.42,2,3,1
39,11,2.51,65.38,69.29,2,1,1
39,12,3.02,74.12,72.44,1,1,1
40,1,0.68,79.01,87.68,5,2,0
40,2,0.83,85.63,85.17,4,3,0
40,3,0.82,93.44,89.26,5,3,0
40,4,0.35,84.63,90.52,4,1,0
40,5,0.31,82.47,90.95,6,2,0
40,6,0.19,74.11,86.8,4,1,0
40,7,0.56,78.19,88.71,5,3,0
40,8,0.82,81.96,90.01,5,3,0
40,9,0.58,80.08,80.77,6,1,0
40,10,0.46,84.5,85.64,4,1,0
40,11,0.53,83.2,86.23,6,3,0
40,12,0.41,80.65,88.51,4,2,0
41,1,1.07,58.99,82.44,3,1,1
41,2,1.23,60.34,82.24,3,2,1
41,3,2.2,52.74,93.46,1,1,1
41,4,2.07,61.0,86.85,2,3,1
41,5,2.68,49.99,94.81,2,1,1
41,6,2.1,54.39,89.48,3,1,1
41,7,1.85,55.83,78.24,2,1,1
41,8,2.25,53.29,80.3,1,3,1
41,9,3.16,41.59,84.28,3,1,1
41,10,3.01,52.95,86.8,2,1,1
41,11,3.57,48.42,84.07,2,3,1
41,12,3.92,47.42,83.55,3,2,1
42,1,0.14,68.57,82.31,4,2,0
42,2,0.72,80.78,90.36,4,1,0
42,3,0.7,76.4,78.03,6,1,0
42,4,0.22,70.72,82.46,4,3,0
42,5,0.55,71.92,85.3,6,1,0
42,6,0.51,82.2,86.15,6,3,0
42,7,0.94,75.0,86.84,6,2,0
42,8,0.24,69.15,82.03,4,1,0
42,9,0.77,73.94,86.16,4,1,0
42,10,0.19,73.09,86.1,5,1,0
42,11,0.6,76.17,81.58,5,2,0
42,12,0.45,67.26,85.4,4,2,0
43,1,0.45,79.54,81.93,5,3,0
43,2,0.96,73.25,84.87,4,3,0
43,3,0.25,75.66,88.6,6,2,0
43,4,0.56,75.19,86.11,6,2,0
43,5,0.05,74.53,91.04,6,3,0
43,6,0.48,70.76,92.52,4,3,0
43,7,0.66,73.56,88.29,5,2,0
43,8,0.62,70.2,91.06,4,3,0
43,9,0.21,75.94,93.02,5,1,0
43,10,0.61,75.9,90.21,5,3,0
43,11,0.12,76.47,91.22,6,2,0
43,12,0.36,72.3,88.37,6,1,0
44,1,1.18,91.25,83.89,5,2,0
44,2,0.3,97.46,78.4,5,1,0
44,3,0.29,90.09,79.57,4,1,0
44,4,0.51,90.85,86.21,4,1,0
44,5,0.65,99.29,78.67,6,3,0
44,6,0.27,91.61,80.81,6,3,0
44,7,0.41,96.89,86.13,6,2,0
44,8,0.66,94.12,80.17,4,3,0
44,9,0.37,92.82,80.0,5,3,0
44,10,0.92,92.04,87.25,6,3,0
44,11,0.36,96.31,87.26,5,3,0
44,12,0.72,80.78,87.89,4,3,0
45,1,2.62,83.25,79.7,1,2,1
45,2,1.58,75.25,77.03,1,1,1
45,3,2.35,76.55,84.9,3,1,1
45,4,1.74,75.31,84.44,2,2,1
45,5,2.73,70.86,75.85,2,3,1
45,6,2.58,78.49,73.81,2,1,1
45,7,2.41,68.97,84.46,3,2,1
45,8,2.5,75.46,83.38,3,2,1
45,9,1.95,71.1,76.49,3,1,1
45,10,3.2,79.05,76.73,3,1,1
45,11,2.67,70.06,73.2,2,3,1
45,12,3.39,68.08,78.68,2,3,1
46,1,0.22,74.97,89.1,6,1,0
46,2,0.37,73.14,90.17,6,2,0
46,3,0.64,71.02,86.02,6,3,0
46,4,0.93,67.09,87.09,6,1,0
46,5,0.56,78.44,93.62,5,1,0
46,6,0.51,73.91,88.85,6,3,0
46,7,0.79,70.92,85.82,5,3,0
46,8,0.5,78.01,88.94,6,3,0
46,9,0.52,70.6,85.15,6,1,0
46,10,0.17,72.71,90.27,5,1,0
46,11,0.34,66.33,84.81,5,2,0
46,12,0.87,75.32,87.7,4,2,0
47,1,1.84,82.2,87.82,2,1,1
47,2,1.69,75.28,82.66,2,1,1
47,3,2.31,79.1,77.53,3,3,1
47,4,1.73,75.07,98.43,3,2,1
47,5,2.63,65.89,86.0,3,3,1
47,6,2.56,68.79,83.6,3,3,1
47,7,2.03,74.87,88.42,1,2,1
47,8,2.24,64.31,79.17,2,1,1
47,9,3.71,64.23,75.94,1,1,1
47,10,3.57,68.54,81.28,1,1,1
47,11,3.38,67.21,87.58,2,2,1
47,12,3.17,66.6,80.49,3,3,1
48,1,0.52,82.14,91.98,4,2,0
48,2,0.04,72.92,93.14,6,1,0
48,3,0.21,69.24,92.57,5,2,0
48,4,0.1,78.75,92.61,6,3,0
48,5,0.08,77.58,95.44,6,2,0
48,6,0.7,80.66,88.93,4,1,0
48,7,0.68,74.41,93.75,4,2,0
48,8,0.38,75.07,95.28,5,3,0
48,9,0.82,78.5,100.0,6,1,0
48,10,0.48,75.17,95.38,6,2,0
48,11,0.64,82.12,92.38,6,1,0
48,12,0.11,74.86,91.1,6,1,0
49,1,1.37,80.48,88.04,3,3,1
49,2,1.38,85.0,89.57,3,1,1
49,3,2.7,71.42,88.41,2,1,1
49,4,1.75,78.08,86.37,3,1,1
49,5,1.79,72.93,86.47,1,1,1
49,6,2.4,77.8,78.07,3,1,1
49,7,1.99,78.22,83.82,1,3,1
49,8,3.04,65.53,75.85,3,2,1
49,9,2.7,67.37,88.5,3,3,1
49,10,2.74,83.72,77.59,1,2,1
49,11,3.73,75.75,81.2,2,1,1
49,12,2.56,82.01,75.82,3,2,1
50,1,0.42,79.24,94.64,6,2,0
50,2,0.35,77.13,93.66,5,3,0
50,3,0.0,86.25,100.0,5,3,0
50,4,0.0,77.57,99.28,5,3,0
50,5,1.17,86.13,97.21,4,1,0
50,6,1.08,82.01,97.2,4,3,0
50,7,0.59,78.89,100.0,6,1,0
50,8,0.71,82.74,100.0,6,1,0
50,9,0.23,87.43,96.55,5,1,0
50,10,0.61,84.26,100.0,4,1,0
50,11,0.61,81.95,91.08,4,3,0
50,12,0.44,75.32,96.73,5,1,0
51,1,2.14,67.91,88.93,2,2,1
51,2,1.82,73.64,77.31,3,1,1
51,3,1.94,70.38,89.41,1,3,1
51,4,2.1,67.46,84.49,3,2,1
51,5,2.53,74.45,82.32,3,2,1
51,6,2.98,69.11,85.13,2,3,1
51,7,2.68,66.93,92.78,2,1,1
51,8,2.14,56.3,94.04,2,1,1
51,9,1.98,65.32,89.98,3,1,1
51,10,3.31,66.34,79.16,3,3,1
51,11,2.66,68.74,77.65,3,3,1
51,12,3.16,69.9,87.9,2,1,1
52,1,0.99,68.41,98.35,4,1,0
52,2,0.0,69.55,90.03,5,3,0
52,3,0.23,77.11,95.78,4,2,0
52,4,0.81,66.67,96.91,5,3,0
52,5,0.07,75.45,91.79,5,2,0
52,6,0.32,72.89,90.14,5,2,0
52,7,0.81,73.18,96.38,5,2,0
52,8,0.73,67.24,98.55,4,1,0
52,9,0.4,73.0,92.63,5,2,0
52,10,0.52,65.6,93.28,6,1,0
52,11,1.07,68.14,94.95,4,2,0
52,12,0.39,80.83,90.71,4,1,0
53,1,0.6,80.53,92.71,6,2,0
53,2,0.11,80.14,91.35,6,3,0
53,3,0.44,74.82,89.08,4,2,0
53,4,0.7,72.14,88.95,4,3,0
53,5,0.77,79.48,90.16,6,3,0
53,6,0.18,76.27,83.16,6,1,0
53,7,0.84,77.0,91.54,6,3,0
53,8,0.98,73.05,92.64,5,2,0
